english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Pliny the Elder,Pline l'Ancien,Gaius Plinius Secundus,Q82778,Plinius Maior,697,"[""the Elder Pliny"", ""Pliny"", ""C. Plinius Secundus"", ""Caius Plinius Secundus"", ""Gaius Plinius Secundus"", ""Gaius P. Secundus"", ""Caius P. Secundus"", ""Plinius""]","[""Gaius Plinius Secundus"", ""Caius Plinius Secundus""]","[""Plinius Maior"", ""Plinius senior"", ""Caius Plinius Secundus"", ""Plinius Major""]","[""Latin""]"
Boethius,Boèce,Anicius Manlius Torquatus Severinus Boethius,Q102851,Boethius,164,"[""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicus Manlius Severinus Boethius"", ""Anicius Manlius Torquatus Severinus Boethius""]","[""Anicius Bo\u00e8ce"", ""S\u00e9verin Bo\u00e8ce"", ""Bo\u00ebce"", ""Anicius Manlius Severinus Boethius"", ""Boethius"", ""Boetius""]","[""Severinus Boethius"", ""Anicius Manlius Severinus Boethius"", ""Bo\u00ebthius"", ""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicius Manlius Severinus Boetius"", ""Boethius"", ""Anicius Manlius Torquatus Severinus Bo\u00ebthius""]","[""Latin""]"
Cornelius Nepos,Cornélius Népos,Cornelius Nepos,Q109594,Cornelius Nepos,204,[],"[""Corn\u00e9lius Nepos"", ""Cornelius Nepos""]","[""Cornelius Nepos Historicus""]","[""Latin""]"
Tibullus,Tibulle,Albius Tibullus,Q109598,Tibullus,1275,"[""Tibullus Albius"", ""Albius Tibullus""]","[""Tibullus""]","[""Tibullus""]","[""Latin""]"
Paulinus of Nola,Paulin de Nole,Paulinus Nolanus,Q132473,Paulinus of Nola,632,"[""Paulinus Nolanus"", ""St. Paulinus of Nola""]",[],[],"[""Latin""]"
Bede,Bède le Vénérable,Beda,Q154938,Beda Venerabilis,158,"[""Beda"", ""Doctor Anglorum"", ""Bede the Venerable"", ""Bede le Venerable"", ""Venerable Bede"", ""Beda Anglicus"", ""Saint Bede"", ""Saint Bede the Venerable"", ""Doctor of the English""]","[""Bede le Venerable"", ""B\u00e8de"", ""Saint B\u00e8de le V\u00e9n\u00e9rable"", ""Beda Venerabilis""]","[""Sanctus"", ""Beda Venerabilis""]","[""Latin""]"
Catullus,Catulle,Gaius Valerius Catullus,Q163079,Catullus,175,"[""Caius Valerius Catullus"", ""Gaius Valerius Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Latin""]"
Isidore of Seville,Isidore de Séville,Isidorus Hispalensis,Q166876,Isidorus of Sevilla,446,"[""St. Isidore"", ""Bishop of Seville"", ""Isidorus Hispalensis"", ""Isidor of Seville"", ""Saint Isidore of Seville""]","[""Isidoire de S\u00e9ville"", ""Saint Isidore de S\u00e9ville"", ""Isidore de Seville""]","[""Laus Hispaniae Isidori Hispaliensis"", ""Isidorus""]","[""Latin""]"
Pliny the Younger,Pline le Jeune,Gaius Plinius Caecilius Secundus,Q168707,Plinius the Younger,696,"[""the Younger Pliny"", ""Gaius Plinius Caecilius Secundus"", ""Gaius Caecilius Cilo"", ""C. Plinius Caecilius Secundus""]","[""Gaius Plinius Caecilius Secundus"", ""Caius Plinius Lucius filius Oufentina tribu Caecilius Secundus""]","[""C. Plinius Caecilius Secundus"", ""Caius Plinius Caecilius Secundus"", ""Plinius Minor""]","[""Latin""]"
Apuleius,Apulée,Lucius Apuleius,Q170512,Apuleius,97,"[""Lucius Apuleius""]","[""Apulee""]","[""Apuleius Madaurensis"", ""Apuleius"", ""Lucius Apuleius Madaurensis""]","[""Latin""]"
Terence,Térence,Publius Terentius Afer,Q172048,Terentius,906,"[""Publius Terentius Afer"", ""Terentius""]","[""Publius Terentius Afer"", ""Terence"", ""Terentius""]","[""P. Terentius Afer"", ""Terentius Comicus"", ""Terentius""]","[""Latin""]"
