english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages,viaf_id
Pliny the Elder,Pline l'Ancien,Gaius Plinius Secundus,Q82778,Plinius Maior,697,"[""the Elder Pliny"", ""Pliny"", ""C. Plinius Secundus"", ""Caius Plinius Secundus"", ""Gaius Plinius Secundus"", ""Gaius P. Secundus"", ""Caius P. Secundus"", ""Plinius""]","[""Gaius Plinius Secundus"", ""Caius Plinius Secundus""]","[""Plinius Maior"", ""Plinius senior"", ""Caius Plinius Secundus"", ""Plinius Major""]","[""Latin""]","[""354144647696882257015"", ""337149294135680521037"", ""337144647701089307786"", ""108225831"", ""100219189"", ""104154972"", ""69159234278503371333"", ""68150323819909972588"", ""100219162""]"
Tibullus,Tibulle,Albius Tibullus,Q109598,Tibullus,1275,"[""Tibullus Albius"", ""Albius Tibullus""]","[""Tibullus""]","[""Tibullus""]","[""Latin""]","[""804144647704751342660"", ""6032152744537527850002"", ""3645157583857233970004"", ""71145856989222921062"", ""100219266""]"
Paulinus of Nola,Paulin de Nole,Paulinus Nolanus,Q132473,Paulinus of Nola,632,"[""Paulinus Nolanus"", ""St. Paulinus of Nola""]",[],[],"[""Latin""]","[""23387750""]"
Bede,Bède le Vénérable,Beda,Q154938,Beda Venerabilis,158,"[""Beda"", ""Doctor Anglorum"", ""Bede the Venerable"", ""Bede le Venerable"", ""Venerable Bede"", ""Beda Anglicus"", ""Saint Bede"", ""Saint Bede the Venerable"", ""Doctor of the English""]","[""Bede le Venerable"", ""B\u00e8de"", ""Saint B\u00e8de le V\u00e9n\u00e9rable"", ""Beda Venerabilis""]","[""Sanctus"", ""Beda Venerabilis""]","[""Latin""]","[""9862167807351718130000"", ""61167867496523060001"", ""5038167867554123060002"", ""145158790620738851292"", ""120144648558757207523"", ""61539765""]"
Isidore of Seville,Isidore de Séville,Isidorus Hispalensis,Q166876,Isidorus of Sevilla,446,"[""St. Isidore"", ""Bishop of Seville"", ""Isidorus Hispalensis"", ""Isidor of Seville"", ""Saint Isidore of Seville""]","[""Isidoire de S\u00e9ville"", ""Saint Isidore de S\u00e9ville"", ""Isidore de Seville""]","[""Laus Hispaniae Isidori Hispaliensis"", ""Isidorus""]","[""Latin""]","[""96397520"", ""79397616"", ""572144647670558301828"", ""4034168049038038410003"", ""316398716"", ""305411325"", ""803890""]"
Pliny the Younger,Pline le Jeune,Gaius Plinius Caecilius Secundus,Q168707,Plinius the Younger,696,"[""the Younger Pliny"", ""Gaius Plinius Caecilius Secundus"", ""Gaius Caecilius Cilo"", ""C. Plinius Caecilius Secundus""]","[""Gaius Plinius Caecilius Secundus"", ""Caius Plinius Lucius filius Oufentina tribu Caecilius Secundus""]","[""C. Plinius Caecilius Secundus"", ""Caius Plinius Caecilius Secundus"", ""Plinius Minor""]","[""Latin""]","[""7919164604120137910003"", ""763144647693233081793"", ""300159474326627662791"", ""164144928757954440083"", ""108612281"", ""106969434"", ""305539250"", ""10638270"", ""306137710"", ""1456149544570800490008""]"
Aelius Donatus,Aelius Donatus,Aelius Donatus,Q247137,Donatus,261,"[""Donatus""]","[""\u00c9lius Donat"", ""Aelius Donat""]","[""Donatus"", ""Donatus Grammaticus""]","[""Latin""]","[""37012417""]"
Gaius,Gaius,Gaius,Q313439,Gaius,325,"[""Caius""]","[""Ca\u00efus"", ""Ga\u00efus""]","[""Gaius Iurisconsultus"", ""iur.,"", ""Gaius""]","[""Latin""]","[""523159474048527660594"", ""291262291"", ""1537154387374330970000"", ""1155159248246204870006"", ""5725215""]"
Macrobius,Macrobe,Ambrosius Theodosius Macrobius,Q313934,Macrobius,540,"[""Ambrosius Theodosius Macrobius"", ""Ambroise Th\u00e9odose Macrobe"", ""Macrobius Ambrosius Theodosius""]","[""Ambrosius Macrobius Theodosius""]","[""Macrobius Theodosius"", ""Macrobius Grammaticus"", ""Macrobius""]","[""Latin""]","[""837144647705342525216"", ""393159234432503371701"", ""1144154381072730292172"", ""39387062""]"
Silius Italicus,Silius Italicus,Tiberius Catius Asconius Silius Italicus,Q316123,Silius Italicus,852,"[""Tiberius Catius Asconius Silius Italicus""]","[""Tiberius Catius Asconius Silius Italicus""]","[""Silius Italicus""]","[""Latin""]","[""8985165814880259860007"", ""501155284859487061746"", ""4152159477895327990003"", ""693154380976430291546"", ""251073777"", ""27071645""]"
